功能模块,预期功能,模糊指令,潜在意图,环境假设,设计思路备注
息屏,息屏,这屏幕老晃眼，帮我先让它暗下来呗。,关闭屏幕显示进入息屏,夜间在卧室准备睡觉，屏幕仍常亮,不说息屏，通过眼睛疲劳表达诉求
息屏,息屏,我想眯一会儿，不想它一直亮着。,息屏以免影响午休,午睡前想遮光,用日常口语表达而非功能词
息屏,息屏,手上有水又摸不到键，你帮我让屏幕先灭了行不？,语音息屏,厨房洗菜，双手不便,带场景限制，强调语音协助
天气,天气查询,后天要赶集，太阳会不会晒得太狠？,查询默认城市后天天气,准备外出赶集担心高温,以体感描述引导查询天气
天气,天气查询,这两天屋里潮乎乎的，看看周末是不是要下雨。,查询周末降雨,连日潮湿担心继续下雨,先说明感受再提模糊请求
天气,天气查询,明早送孙子上学，外面得不要紧吧？,查询明日天气,清晨送孩子上学,用“不要紧”暗示关注天气
日历,日期时间和万年历,今天农历是啥日子？我记不住了。,查询当日农历,安排传统活动前确认日期,直接提农历但未提“查日历”
日历,日期时间和万年历,下周二是不是腊八节啊？,确认指定日期节日,临近腊八节,以询问节日形式触发万年历
日历,日期时间和万年历,家里说这周适合搬家，你帮我瞧瞧黄历咋说。,查看近期开业/搬家宜忌,计划搬家,强调黄历宜忌，需解析日期
时间,播报时间,这会儿几点了？我怕错过吃药时间。,获取当前时间,按药点服药,通过担心误药表达时间需求
时间,播报时间,小睡醒了搞不清现在是啥时辰，你报一下。,播报当前时间,午睡后迷糊,使用口语“啥时辰”
时间,播报时间,闹钟坏了，先跟我说说现在几点。,播报当前时间,闹钟故障,说明动机但不直言“报时间”
设置,小雅设置,设置中心在哪儿，我想看下系统选项。,打开设置界面,需要调整系统配置,以寻找入口方式提出
设置,小雅设置,想调调亮度和声音，带我进设置看看。,进入设置菜单,音量和亮度需调整,描述目的但仍依赖设置
设置,小雅设置,菜单里是不是有更新选项？帮我找找。,查看系统更新,怀疑有系统更新,疑问句引导进入设置
健康监测,健康监测,昨天头有点发蒙，咱把血压测一下吧。,进行血压监测,用户感到头晕,通过症状表达监测需求
健康监测,健康监测,医生叫我这几天盯着血糖，帮我测测看。,进行血糖监测,糖尿病患者居家管理,引用医生叮嘱触发监测
健康监测,健康监测,最近夜里老睡不踏实，开个睡眠监测呗。,开启睡眠监测,睡眠质量下降,描述睡眠问题触发功能
健康评估,健康评估,这阵子浑身乏力，帮我做个整体评估看看。,进行综合健康评估,长期乏力需评估,模糊描述症状
健康评估,健康评估,医生叫我定期评估体况，你给我安排一下呗。,发起健康评估,医生建议定期评估,以医生嘱托提出
健康评估,健康评估,想知道最近身体指数咋样，你帮我总结下。,生成健康评估报告,关注近期综合指数,强调总结功能
健康科普,健康科普,熬夜后总心慌，有啥缓解的小贴士吗？,获取健康建议,熬夜导致不适,寻求护理建议
健康科普,健康科普,血脂高的老人吃饭应该注意点啥？,获取血脂饮食科普,老年血脂偏高,饮食场景结合
健康科普,健康科普,换季老过敏，你说说怎么防着点。,了解过敏预防,换季敏感人群,聊天式提问
健康画像,健康画像,帮我瞧瞧老伴最近身体数据怎么样。,查看老伴健康画像,照护配偶,第三人称称呼
健康画像,健康画像,把小唐的健康情况给我汇总下。,查看小唐画像,关注家人健康,点名具体对象
健康画像,健康画像,整理一下我自己的身体画像，我想留个档。,查看本人健康画像,建立个人档案,主动归档诉求
小雅医生,小雅医生,我想找小雅跟医生聊聊。,进入小雅医生咨询,需要咨询健康问题,口语化表达“聊聊”
小雅医生,小雅医生,帮我连接下王医生，想问问药。,联系特定医生,用户记得医生名字,指定姓名考察目标提取
小雅医生,小雅医生,身体不太舒服，打开健康咨询给我指点指点。,打开小雅医生健康咨询,出现轻微不适,结合身体状况提出咨询需求
名医问诊,名医问诊,最近膝盖疼，想预约个专家远程问问。,发起名医问诊,慢性关节痛,强调“专家远程”
名医问诊,名医问诊,帮我找个名医看看这老毛病。,名医问诊,长期老毛病,语句简短但突出“名医”
名医问诊,名医问诊,能不能安排个远程问诊，我想让专家听听。,预约远程名医,需要线上问诊,隐含“专家”需求
用药提醒,用药提醒,每天晚上那颗降压药别忘提醒我。,新增用药提醒,长期服药需提醒,指定药品类型
用药提醒,用药提醒,给我加个维生素D的服药计划。,创建特定药物提醒,补充维生素,明确药名但非直接说“提醒”
用药提醒,用药提醒,今天有没有要吃的药，你替我瞧瞧。,查看现有用药提醒,用户不记得今日计划,通过询问判断是否已有安排
家庭医生,家庭医生,把家庭医生界面打开，我要看记录。,进入家庭医生页面,查看历史记录,直接请求打开界面
家庭医生,家庭医生,帮我联系下李医生聊几句。,联系指定家庭医生,已有家庭医生名单,指定姓名考验提取
家庭医生,家庭医生,想和家庭医生语音沟通一下。,发起家庭医生音频通话,需要语音咨询,表达沟通方式
相册,小雅相册,想翻翻去年旅游的照片。,打开相册,回顾旅行记忆,提到内容但未说“打开相册”
相册,小雅相册,看看最近拍的小孙女。,查看近期照片,家庭日常记录,亲属称谓突出情感
相册,小雅相册,打开那本老照片给我看看。,浏览相册,怀旧场景,用“那本”制造模糊指向
小雅通话,小雅通话,帮我打给闺女，语音就行。,发起语音通话,联系家人,指定关系和通话类型
小雅通话,小雅通话,打开通话，我想联系家里人。,进入通话功能,需要快速联系家人,表达“联系家里人”
小雅通话,小雅通话,能不能给大儿子视频一下。,发起视频通话,想与家人视频,指定“视频”及人物
小雅家政,小雅家政,厨房水槽漏水，帮我找师傅看看。,预约家政-水电维修,厨房漏水,描述问题类型
小雅家政,小雅家政,屋里地板脏了，约个保洁来收拾。,预约家政保洁,居家卫生需求,以保洁诉求触发
小雅家政,小雅家政,空调老滴水，你帮我安排个维修服务。,预约家电维修,空调故障,指定问题指向家政
小雅教育,小雅教育,最近想学八段锦，有课程吗？,打开八段锦课程,关注养生功法,明确学习目标
小雅教育,小雅教育,教我跳跳新的广场舞。,查找广场舞教学,希望学习舞蹈,口语化请求
小雅教育,小雅教育,想练练书法，有没有字帖课程。,查找书法课程,兴趣学习,提出具体学习内容
小雅娱乐,小雅娱乐,想放松一下，给我找点娱乐的。,打开娱乐首页,需要休闲,泛化表达“放松”
小雅娱乐,小雅娱乐,放段穆桂英挂帅的戏曲给我听听。,播放指定戏曲,戏曲爱好者,点播具体节目
小雅娱乐,小雅娱乐,想听会儿评书，有啥推荐。,播放听书/评书,喜欢评书,求推荐型表达
小雅陪伴,语音陪伴或聊天,有点闷，陪我说说话呗。,开启陪聊,心情低落,简短请求陪伴
小雅陪伴,语音陪伴或聊天,今天心里有点堵，咱聊聊家常。,聊天安慰,情绪受挫,强调聊家常
小雅陪伴,语音陪伴或聊天,晚上闲得慌，你跟我聊会儿。,开启陪聊,夜间孤独,表达无聊需要陪伴
小雅商城,商城,想看看商城里有没有温度计。,浏览商城健康监测商品,需要家庭健康器材,点名商品类型
小雅商城,商城,给我推荐点适老化用品。,浏览适老用品分类,老年生活用品需求,请求推荐某类商品
小雅商城,商城,最近想买点健康零食，帮我看看。,浏览健康食疗产品,关注健康食品,购物需求但未说“商城”
天气,天气查询,周末得去武汉看老同学，要不要带雨伞呀？,查询武汉周末天气,准备跨城出行，关注降雨,明确地点但语气模糊，想知道是否需带伞
天气,天气查询,广州今晚会不会又下雨？我想安排跑步。,查询广州今晚天气,夜跑前需要了解雨情,加入城市和活动背景
天气,天气查询,我们小区后天是不是要刮大风降温？得提前收衣服。,查询默认城市后天风力与温度,担心降温和大风,以家务场景引出天气需求
天气,天气查询,老妈明天到长沙，帮我看看那天的气温，别冻着她。,查询长沙明天天气,接老人，需要了解气温,地点为默认城市但强调家庭关怀
天气,天气查询,周五我在宁波有个早市，还冷不冷？,查询宁波周五天气,清晨出摊，关注气温,结合城市与时间点提出模糊问题
健康监测,健康监测,帮我给小唐量下血压，他晚上老眩晕。,为小唐执行血压监测,家人出现眩晕症状,指定人名，表达症状
健康监测,健康监测,老李说胸口闷，你看看能不能给他测个心率。,为老李测心率,家中长者胸闷,第三人称指令+症状
健康监测,健康监测,爸今晚要吃药，顺便帮他查查血糖数据。,启动父亲的血糖监测,监护父亲血糖,结合用药场景提血糖监测
健康监测,健康监测,帮阿花开个睡眠监测，她最近老翻身。,为阿花开启睡眠监测,家庭成员睡眠质量差,昵称＋睡眠问题
健康监测,健康监测,我刚运动完，测一下自己的血氧看恢复得咋样。,启动自身血氧监测,运动后关注恢复,结合运动场景
健康评估,健康评估,最近查的指标乱七八糟，你帮我综合评评呗。,启动综合健康评估,体检后指标异常,用“评评”口语表达
健康科普,健康科普,每到回南天骨头就酸，给点缓解的建议呗。,获取湿冷天气下的关节护理科普,南方潮湿引起不适,结合天气体验提出科普需求
健康画像,健康画像,把老爸最近的健康画像给我过一遍，我得跟医生说。,查看父亲健康画像,准备体检结果与医生沟通,强调要与医生沟通，说明紧迫性
健康画像,健康画像,小雅，整理下我和老伴的身体数据对比看看。,查看夫妻双方画像（至少自身）,夫妻互相关心健康,比较需求，含多个对象
天气,天气查询,下午要晒被子，帮我看看今儿有没有阵雨。,查询当日降雨情况,家务安排受天气影响,结合家务动作，需给出天气建议
用药提醒,用药提醒,今晚八点提醒我吃肠胃药，老是忘。,新增定时用药提醒,晚间服药易遗忘,明确时间但语气自然
用药提醒,用药提醒,维生素D那条计划还顶用吗？你帮我瞅一眼。,查看现有维生素D用药计划,关心提醒是否仍有效,口语化“瞅一眼”
小雅通话,小雅通话,帮我给外孙女发个视频过去，就说想她了。,发起视频通话,思念家人,表达情感诉求
小雅家政,小雅家政,阳台窗户合不上，能不能安排个人来修修。,预约家政维修（房屋类）,门窗故障,描述具体问题
小雅教育,小雅教育,想跟着学写楷书，有视频课吗？,查找楷书课程,书法兴趣,学习需求表达
小雅陪伴,语音陪伴或聊天,今晚有点寂寞，陪我唠会儿磕呗。,开启聊天陪伴,夜间孤独感,东北口语“唠磕”
小雅商城,商城,最近想给爸妈买点助力拐杖，你给我找找。,浏览助力拐杖等适老用品,为父母购置辅助用品,强调适老化用品
